Country,2013,2014,2015,2016,2017,2018,2019,2020,,
Belgium,82376327,80774027,79171726,77569425,76190376,74703759,73217143,71730526,,
Bulgaria,28661817,28897235,29132652,29368070,27481112,27670637,27860163,28049688,,
Czech Republic,65452506,66137845,66823185,67508524,67971770,68581207,69190644,69800080,,
Denmark,36829163,35925171,35021179,34117187,34775642,33871444,32967246,32063048,,
Germany,495725112,488602056,481479000,474355944,453842854,446270289,438697724,431125160,,
Estonia,6296988,6321312,6345636,6369960,5928965,5960550,5992135,6023720,,
Ireland,47226256,46089109,44951963,43814816,41194830,40110780,39026731,37942682,,
Greece,61003810,61293018,61582226,61871434,61029668,61298009,61566349,61834690,,
Spain,235551490,233489390,231427291,229365191,225664376,223560157,221455939,219351720,,
France,408762813,403877606,398580044,393282481,371789603,366284473,360779342,355274211,,
Croatia,21196005,21358410,21520815,21683221,20147020,20330287,20513553,20696819,,
Italy,317768849,315628134,313487419,311346703,307153729,304562057,301970385,299378714,,
Cyprus,5919071,5922555,5926039,5929524,4196633,4122837,4049042,3975247,,
Latvia,9279248,9370072,9460897,9551721,9747135,9834273,9921411,10008549,,
Lithuania,17153997,17437556,17721116,18004675,18033267,18327321,18621376,18915430,,
Luxembourg,9814716,9610393,9406070,9201747,8992800,8780781,8568762,8356742,,
Hungary,50796264,51906630,53016996,54127362,50432363,51347175,52261987,53176800,,
Malta,1168514,1166788,1165061,1163334,1174524,1173666,1172808,1171950,,
Netherlands,125086859,122775394,120463928,118152462,116032216,113763728,111495240,109226752,,
Austria,54643228,54060177,53477125,52894074,51372672,50751430,50130188,49508946,,
Poland,204579390,205621337,206663283,207705229,210107929,211642729,213177529,214712329,,
Portugal,49874317,50139847,50405377,50670907,48431756,48811632,49191508,49571384,,
Romania,83080513,84765858,86451202,88136547,90958677,92739954,94521231,96302508,,
Slovenia,12278677,12309309,12339941,12370573,12161170,12196719,12232267,12267816,,
Slovakia,25877815,26203808,26529801,26855793,26759746,27028129,27296513,27564896,,
Finland,33497046,32977333,32457619,31937905,31771327,31185203,30599079,30012956,,
Sweden,43386459,42715001,42043544,41372087,39377620,38772710,38167800,37562890,,
United Kingdom,358980526,354455751,349930975,345406200,360630247,357464952,354299657,351134362,,
