Country_code,electricity,residential non-elec,services non-elec,rail non-elec,road non-elec,domestic navigation,international navigation,domestic aviation,international aviation,industrial processes,agriculture,LULUCF,waste management,other,indirect,industrial non-elec
EU28,1430.50530185,505.45020021,197.92605272,13.415887710000002,716.87592589,29.584229179999998,109.56387517,13.726211509999999,68.56522981,325.56438571,14.740803620000001,-277.29187545,5.138202720000001,0.0,4.209374370000001,1035.1715275900006
NO,0.40767908999999997,1.70196833,1.1646238,0.09340005,7.049874979999999,2.03608431,2.3017773900000003,0.6962738,0.64292814,6.9683004099999994,0.23152386000000003,-10.48883573,0.00018937,0.0,0.0,12.026702560000002
CH,2.10376524,11.60844109,4.83846653,0.02868849,13.967082809999999,0.11427297,0.05980762,0.25255489,3.0659231100000004,3.1546271200000002,0.04890354,-2.01860274,0.04023302,0.010960000000000001,0.38002006,4.860694519999997
BA,9.4888,0.07388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,3.9403888888888887
RS,36.885025,2.1207083333333334,0.0,0.0,4.921395833333334,0.0,0.0,0.0,0.47658333333333336,,0.22899999999999998,,,,,10.169268055555554
AL,0.5351666666666666,0.3343499999999999,0.0,0.0,0.7733791666666666,0.0,0.0,0.0,0.0,,0.0,,,,,2.1075930555555553
ME,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0
MK,5.4045,0.4386541666666667,0.0148,0.023749999999999997,0.8439958333333332,0.0,0.0,0.0,0.017020833333333332,,0.1498625,,,,,1.7150916666666665
FR,49.16106402,55.01185409,29.934178029999998,1.07843066,114.06254282,1.02293619,7.96781239,4.383831519999999,8.53709252,31.50156168,1.76549283,-26.204779180000003,2.20857629,0.0,0.0,94.14166871
DE,338.45115956,128.63575218,64.1058947,2.90052204,151.89837502999998,3.6445326700000003,6.4053476,2.28049232,12.0526769,59.694713889999996,3.18361405,-30.464211749999997,0.0,0.0,0.0,279.09546350000016
GB,203.11585003,78.22833139000001,25.40019753,1.47182283,107.89076986,7.53575225,8.91475024,1.5398143,15.3366505,24.71274051,1.34003666,-2.40157228,1.31175419,0.0,0.0,121.58277045999985
IT,108.52720957000001,55.55435172,11.81535102,0.61332569,92.31580551,5.4701112599999995,4.45375105,1.49311851,4.2847785400000005,29.39683942,0.46619506,-5.66199193,0.51200858,0.0,0.0,123.10595626999991
ES,65.57540975,12.802207630000002,3.8115577,0.42172116,50.43293134,5.21410345,11.65859658,1.66440843,4.7314893499999995,21.99693806,0.49939461,-36.63285788,0.11325905,0.0,0.0,52.291539019999966
PL,227.27946095000001,35.222496160000006,9.71477053,1.6236691,18.435525939999998,0.15069069,1.2653455200000001,0.06518197,0.63755328,18.76011158,2.5705022399999997,-32.99248865,0.35005801000000003,0.0,0.0,60.471151990000045
SE,7.7136988,6.31739545,2.9003982099999996,0.10140936,16.97933329,0.44273006,2.33981129,0.67304192,1.33493932,5.954906530000001,0.17775165,-36.23589292,0.04385451,0.0,0.0,12.369554499999998
NL,40.02704563,20.73484332,8.29312659,0.08846512,26.45057252,0.74346052,34.947406519999994,0.08476853,4.60435501,6.835408510000001,0.18315225000000002,6.48466503,0.0,0.0,0.91719155,19.392504910000017
BE,23.53655477,20.4955586,4.2922321199999995,0.22244965,19.6796592,0.36187378000000003,13.312504520000001,0.014688660000000001,3.12522111,18.2036862,0.17835588000000002,-3.2490549900000003,0.29949882,0.0,0.0,16.587059540000002
